08-06-2017 03:22:02 PM - tldextract - INFO - computed TLDs: [chikuho.fukuoka.jp, భారత్, 公司.hk, pvt.ge, matsuzaki.shizuoka.jp, name.eg, tsuruga.fukui.jp, اتصالات, in-addr.arpa, hisayama.fukuoka.jp, ...]
08-06-2017 03:22:02 PM - tldextract - WARNING - unable to cache TLDs in file /usr/local/lib/python2.7/dist-packages/tldextract/.tld_set: [Errno 13] Permission denied: '/usr/local/lib/python2.7/dist-packages/tldextract/.tld_set'
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470757 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/471011 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/471011 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470966 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470966 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470758 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470758 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/778 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url #carousel-dossier path starts with #
08-06-2017 03:22:05 PM - root - DEBUG - elim category url #carousel-dossier path starts with #
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472757 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472757 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /AFP/Article/2017/06/08/Bacterie-Ecoli-4-ans-requis-contre-les-fournisseurs-des-steaks-contamines#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472755 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472755 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /AFP/Article/2017/06/08/En-hydroponie-et-aquaponie-le-jardin-extraordinaire-de-Lucille-alimente-0#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472752 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472752 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /AFP/Article/2017/06/08/Trump-et-la-Russie-audition-sous-haute-tension-de-James-Comey-au-Congres#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472745 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472745 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /AFP/Article/2017/06/08/Un-Batman-argentin-au-chevet-denfants-malades_472745#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472738 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472738 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /AFP/Article/2017/06/08/Melilla-la-nuit-des-enfants-font-le-riski-vers-lEurope_472738#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/8 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472764 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472764 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /AFP/Article/2017/06/08/VIDEO-L214-diffuse-des-images-de-labattoir-de-Houdan-avant-un-proces_472764#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472750 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472750 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /AFP/Article/2017/06/08/Legislatives-vers-une-large-majorite-pour-Emmanuel-Macron_472750#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472742 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472742 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /AFP/Article/2017/06/08/Education-Blanquer-veut-autoriser-nouveau-le-redoublement_472742#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472601 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472601 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /AFP/Article/2017/06/08/ProA-Chalon-sur-Saone-en-finale-pour-la-2e-fois-de-son-histoire_472601#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472573 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472573 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /AFP/Article/2017/06/07/Teletravail-les-recommandations-des-partenaires-sociaux-au-gouvernement#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/15 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472707 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472707 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472706 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472706 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472705 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472705 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472704 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472704 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472703 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472703 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/839 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472546 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /clicazot/Article/2017/06/07/Ericka-Bareigts-socialiste-et-presque-fiere-de-letre_472546#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472476 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /clicazot/Article/2017/06/07/Candidats-aux-Legislatives-mobilisez-vous-contre-lalcoolisation-foetale#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472470 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /clicazot/Article/2017/06/07/La-duperie-de-Ericka-Bareigts-socialiste-PS_472470#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472311 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /clicazot/Article/2017/06/06/Ler-larive-po-bann-planter-lev-la-tet-e-fe-respekt-azot_472311#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472300 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /clicazot/Article/2017/06/06/3eme-circonscription-je-vote-responsable-le-11-juin_472300#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472264 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /clicazot/Article/2017/06/06/Cilaos-future-station-de-tourisme-thermale-et-climatique-de-Haute#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472263 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /clicazot/Article/2017/06/06/Donald-Trump-un-danger-pour-le-Monde_472263#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url //www3.smartadserver.com/ac?jump=1&nwid=1544&siteid=145205&pgname=clicanoo&fmtid=51688&visit=m&tmstp=[timestamp]&out=nonrich for domain mismatch
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472764 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472764 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470749 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470749 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470748 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470748 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470747 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470747 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470786 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470786 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472653 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472653 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Sport/Article/2017/06/08/Escalade-Une-belle-moisson_472653#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472648 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472648 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Sport/Article/2017/06/08/Rogin-fait-machine-arriere_472648#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472651 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472651 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Sport/Article/2017/06/08/Question-de-suprematie_472651#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472650 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472650 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Sport/Article/2017/06/08/Le-champion-laise_472650#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472646 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472646 for >1 path chunks or size path chunks
